ID;Matériau;Dimension;Caractéristique;Précision;Qté;Unité;PR. FO;Type FO;K FO;PV FO;h MO;Type MO;K MO;PV MO;PV.U. total;Prix total;F1_nom;F1_prix;F1_ref;F1_source;F2_nom;F2_prix;F2_ref;F2_source;F3_nom;F3_prix;F3_ref;F3_source;Temps (h);"Temps (1""/h)"
Var.I4S.200;Inox 304L - Soudé;DN200;Vanne d'arrêt;219,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.250;Inox 304L - Soudé;DN250;Vanne d'arrêt;273,0x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.300;Inox 304L - Soudé;DN300;Vanne d'arrêt;323,9x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.350;Inox 304L - Soudé;DN350;Vanne d'arrêt;355,6x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.400;Inox 304L - Soudé;DN400;Vanne d'arrêt;406,4x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.450;Inox 304L - Soudé;DN450;Vanne d'arrêt;457,2x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Var.I4S.500;Inox 304L - Soudé;DN500;Vanne d'arrêt;508,0x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.15;Rockwool 835;DN15;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.20;Rockwool 835;DN20;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.25;Rockwool 835;DN25;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.32;Rockwool 835;DN32;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.40;Rockwool 835;DN40;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.50;Rockwool 835;DN50;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.65;Rockwool 835;DN65;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.80;Rockwool 835;DN80;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
